sku,units_per_case
01127CB6,1
115070127,12
115070227,12
116061115,6
116061117,6
116070117,12
116070217,12
116070317,12
116070417,12
116070489,12
116070517,12
116070589,12
116070617,12
116070717,12
116070769,6
116070817,6
116070915,6
116070917,6
116071015,6
116071017,6
116071115,6
116071117,6
116161115,6
116161117,6
116170189,12
116170289,12
116170389,12
116170689,12
116270117,4
116270217,4
116270317,4
116270417,4
116270517,4
116270617,4
116370315,6
116370415,6
116370515,6
116370615,6
116370715,6
116370815,6
116370915,6
116370917,6
116371015,6
116371017,6
116371115,6
116371117,6
116470715,6
116470717,12
116470815,6
116470817,6
116470915,6
116470917,6
116471015,6
116471017,6
116471115,6
116471117,6
116540717,4
116570715,6
116570717,12
116570817,6
116570915,6
116570917,6
116571015,6
116571017,6
116571115,6
116571117,6
116581115,6
116581117,6
116670915,6
116670917,6
116671015,6
116671017,6
116671115,6
116671117,6
116761215,6
116770515,6
116770517,12
116770537,12
116770617,12
116770715,6
116770717,12
116770815,6
116770817,6
116770915,6
116770917,6
116771015,6
116771017,6
116771115,6
116771117,6
116781115,6
116781117,6
116870717,4
116870815,6
116870817,6
116870915,6
116870917,6
116971015,6
116971017,6
10101127,6
10103121,6
10103127,6
10104121,6
10104127,6
10105121,6
10105127,6
10109121,6
10109127,6
1015300017,12
1015300089,12
1015300117,12
1015300189,12
1015300217,12
1015300317,12
1015350017,12
1015350217,12
1015350317,12
1015400017,12
1015400217,12
10206121,6
10206127,6
10207121,6
10207127,6
10207127ED,6
10208121,6
10208127,6
10312121,6
10312127,6
10313121,6
10313127,6
1111208,6
1131103,6
1131104,6
1131105,6
1131109,6
1131206,6
1131207,6
1131208,6
1131312,6
1131313,6
1133104,1
1133109,1
1133207,1
1135104,1
1135109,1
1135207,1
1137101,6
1137103,6
1137104,6
11371044,4
1137105,6
1137109,6
1137206,6
1137207,6
1137208,6
1137312,6
1137313,6
1141103,6
1141104,6
1141206,6
1141207,6
1141312,6
1141313,6
1143104,1
1145104,1
1145207,1
1147101,6
1147102,6
1147103,6
1147104,6
1147206,6
1147207,6
1147208,6
1147312,6
1147313,6
1151103,6
1151104,6
1151206,6
1151207,6
1155104,1
1155207,1
1157101,6
1157102,6
1157103,6
1157104,6
1157206,6
1157207,6
1157208,6
1157312,6
1157313,6
1157319,12
1161101,6
1161103,6
1161104,6
1161109,6
1161206,6
1161207,6
1161313,6
1167101,6
1167103,6
1167104,6
1167108,6
1167111,12
1167199,12
1167201,6
1167205,6
1167206,6
1167207,6
1167208,6
1167312,6
1167313,6
1171103,6
1171104,6
1171201,6
1171206,6
1171207,6
1171313,6
1177101,6
1177103,6
1177104,6
1177108,6
1177111,12
1177112,6
1177199,12
1177201,6
1177205,6
1177206,6
1177207,6
1177312,6
1177313,6
1181103,6
1181104,6
1181201,6
1181206,6
1181207,6
1181232,6
1187101,6
1187103,6
1187104,6
1187108,6
1187111,12
1187112,6
1187199,12
1187201,6
1187205,6
1187206,6
1187207,6
1187208,6
1187232,6
1187312,6
1187313,6
1191101,6
1191103,6
1191107,6
1191132,6
1191206,6
1191208,6
1191313,6
1197101,6
1197103,6
1197104,6
1197105,6
1197106,6
1197107,6
1197108,6
1197109,6
1197109D,6
1197111,12
1197112,6
1197132,6
1197198,6
1197201,6
1197205,6
1197206,6
1197207,6
1197208,6
1197312,6
1197313,6
1201101,6
1201103,6
1201104,6
1201132,6
1201206,6
1201313,6
1205104,1
1207101,12
1207103,12
1207104,12
1207107,12
1207108,12
1207111,12
1207112,12
1207132,12
1207201,12
1207206,12
1207208,12
1207313,12
1207314,12
1207499,6
1211101,6
1211103,6
1211106,6
1211107,6
1211132,6
1211206,6
1211208,6
1213104,1
1213107,1
1213207,1
1215104,1
1215107,1
1215207,1
1217101,12
12171016,6
1217103,12
12171036,6
1217104,12
1217105,12
1217106,12
1217107,12
1217108,12
1217109,12
1217111,12
1217112,12
12171126,6
1217113,12
1217114,12
12171146,6
1217132,12
1217198,12
1217201,12
1217205,12
1217206,12
12172066,6
1217207,12
1217208,12
1217209,12
1217312,12
1217313,12
1217314,12
1217401,12
1217402,12
1217499,12
1217599,12
1221000,1
1221000CP,1
1221001,1
1221002,1
1221101,6
1221103,6
1221111,6
1221132,6
1221206,6
1221207,6
1223104,1
1223107,1
1223207,1
1225104,1
1225107,1
1225207,1
1227101,12
12271016,6
1227103,12
12271036,6
1227104,12
1227105,12
1227106,12
1227107,12
1227108,12
1227109,12
1227111,12
1227112,12
1227113,12
1227132,12
1227198,12
1227201,12
1227205,12
1227206,12
12272066,6
1227207,12
1227208,12
1227401,12
1227402,12
1227403,12
1227499,12
1227599,12
1227999,12
1231101,6
1231103,6
1231104,6
1231107,6
1231114,6
1231132,6
1231206,6
1231207,6
1231208,6
1231301,6
1231313,6
1231401,6
1231403,6
1233104,1
1233107,1
1233207,1
1233315,1
1235104,1
1235107,1
1235207,1
1235315,1
1237101,12
12371016,6
1237103,12
12371036,6
1237104,12
1237105,12
1237106,12
1237107,12
1237108,12
1237109,12
1237111,12
1237112,12
1237113,12
1237114,12
1237132,12
12371326,6
1237198,12
1237199,12
1237201,12
1237205,12
1237206,12
12372066,6
1237207,12
1237208,12
1237209,12
1237301,12
1237312,12
1237313,12
12373136,6
1237314,12
1237315,12
1237401,12
1237402,12
1237403,12
1237599,12
1241111,6
1247111,12
12WSWOMMAG,1
13177EW4PK,1
13RRRWOM,1
15103127,12
15110127,12
15111137,12
1515051017,12
1515051117,12
1515060375,12
1515060475,12
1515060575,12
1515060675,12
1515060775,12
1515070017,12
1515070117,12
1515070217,12
1515070257,12
1515070317,12
1515070417,12
1515070467,12
1515070517,12
1515070617,12
1515070697,12
1515070717,12
1515070817,12
1515070917,12
1515071017,12
1515071117,12
1515078217,12
1515078317,12
1515078417,12
1515078517,12
1515078617,12
1515078717,12
1515078727,12
1515078817,12
1515078827,12
1515078917,12
1515078927,12
1515079017,12
1515079027,12
1515079117,12
1515079127,12
1515079217,12
1515079317,12
1515079417,12
1515079517,12
1515079617,12
1515079717,12
1515079777,12
1515079817,12
1515079827,12
1515079917,12
1515079927,12
151507NV97,12
1515080017,12
1515080089,12
1515080117,12
1515080189,12
1515080217,12
1515080227,12
1515080289,12
1515080317,12
1515080417,12
1515080517,12
1515080617,12
1515080717,12
1515080817,12
1515080917,12
1515089924,4
